decimalLatitude,decimalLongitude,vernacularName
60.63,-145.933,northern sea otter
60.63,-145.933,northern sea otter
60.627417,-145.871017,northern sea otter
60.636,-145.857,northern sea otter
60.658167,-145.903183,northern sea otter
60.6364,-145.848817,northern sea otter
60.621517,-145.923967,northern sea otter
60.621517,-145.923967,northern sea otter
60.6436,-145.90645,northern sea otter
60.639517,-145.906617,northern sea otter
60.639517,-145.906617,northern sea otter
60.646983,-145.915033,northern sea otter
60.646983,-145.915033,northern sea otter
60.646983,-145.915033,northern sea otter
60.6452,-145.908533,northern sea otter
60.643,-145.927,northern sea otter
60.6441,-145.91895,northern sea otter
60.640817,-145.890917,northern sea otter
60.636817,-145.902,northern sea otter
60.636817,-145.902,northern sea otter
60.62935,-145.915333,northern sea otter
60.638,-145.926,northern sea otter
60.622867,-145.90745,northern sea otter
60.647,-145.92,northern sea otter
60.63,-145.939,northern sea otter
60.643983,-145.916967,northern sea otter
60.637,-145.895,northern sea otter
60.634267,-145.901417,northern sea otter
60.6422,-145.8882,northern sea otter
60.627,-145.875,northern sea otter
60.646417,-145.891483,northern sea otter
60.63,-145.936,northern sea otter
60.638617,-145.894967,northern sea otter
60.63,-145.87,northern sea otter
60.631,-145.934,northern sea otter
60.639,-145.895,northern sea otter
60.65335,-145.9065,northern sea otter
60.6293,-145.910967,northern sea otter
60.643333,-145.8956,northern sea otter
60.639,-145.892,northern sea otter
60.63645,-145.903133,northern sea otter
60.63645,-145.903133,northern sea otter
60.652,-145.911,northern sea otter
60.63,-145.873,northern sea otter
60.633983,-145.911633,northern sea otter
60.642,-145.889,northern sea otter
60.642,-145.889,northern sea otter
60.645817,-145.90095,northern sea otter
60.639533,-145.89845,northern sea otter
60.651,-145.905,northern sea otter
60.645017,-145.902383,northern sea otter
60.65,-145.886,northern sea otter
60.6433,-145.91455,northern sea otter
60.634,-145.893,northern sea otter
60.627533,-145.8929,northern sea otter
60.645,-145.921,northern sea otter
60.6371,-145.911733,northern sea otter
60.639,-145.896917,northern sea otter
60.640933,-145.90665,northern sea otter
60.640933,-145.90665,northern sea otter
60.648,-145.901,northern sea otter
60.648,-145.901,northern sea otter
60.637733,-145.916133,northern sea otter
60.635817,-145.897167,northern sea otter
60.629,-145.868,northern sea otter
60.6413,-145.917483,northern sea otter
60.643067,-145.916433,northern sea otter
60.638,-145.926,northern sea otter
60.632,-145.914,northern sea otter
60.632017,-145.868567,northern sea otter
60.64025,-145.891483,northern sea otter
60.638,-145.898,northern sea otter
60.637,-145.927,northern sea otter
60.637,-145.927,northern sea otter
60.644383,-145.914183,northern sea otter
60.637533,-145.923417,northern sea otter
60.637533,-145.923417,northern sea otter
60.63,-145.853,northern sea otter
60.632,-145.901,northern sea otter
60.645,-145.922,northern sea otter
60.646817,-145.918417,northern sea otter
60.646817,-145.912183,northern sea otter
60.639083,-145.914167,northern sea otter
60.632,-145.911,northern sea otter
60.649,-145.92,northern sea otter
60.6427,-145.913633,northern sea otter
60.638,-145.898,northern sea otter
60.634517,-145.902417,northern sea otter
60.637,-145.927,northern sea otter
60.62965,-145.910467,northern sea otter
60.6334,-145.85825,northern sea otter
60.642,-145.926,northern sea otter
60.632683,-145.8585,northern sea otter
60.640233,-145.902067,northern sea otter
60.622583,-145.903717,northern sea otter
60.622583,-145.903717,northern sea otter
60.633967,-145.866367,northern sea otter
60.633,-145.865,northern sea otter
60.621383,-145.914067,northern sea otter
60.638033,-145.900683,northern sea otter
60.639233,-145.925767,northern sea otter
60.645,-145.914,northern sea otter
60.644217,-145.905417,northern sea otter
60.63205,-145.934017,northern sea otter
60.629,-145.936,northern sea otter
60.632,-145.869,northern sea otter
60.638,-145.927,northern sea otter
60.643217,-145.9188,northern sea otter
60.643217,-145.9188,northern sea otter
